"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"232106",33,"SC",166118,"SC","MAYHEW AGGREGATES & MINE RECLAMATION","24980 MAITRI RD","CORONA","92883",9999,"RIV","SOUTH COAST AQMD","","",0.000126582278481013,0.00012,0,0,0,1.88499,0.942495,2012,"24980 MAITRI RD,CORONA, CA"
"232119",19,"SC",17841,"SC","MC DOWELL & CRAIG MFG. CO.","13146 E FIRESTONE BLVD","NORWALK","90650",2522,"LA","SOUTH COAST AQMD","","",1.73018808267807,1.5932,0.04725,0.1755,0.00081,0.01012,0.01012,2012,"13146 E FIRESTONE BLVD,NORWALK, CA"
"232123",33,"SC",132188,"SC","MCANALLY ENTERPRISES LAKEVIEW COMPLEX","32710 RESERVOIR ST","LAKEVIEW","92567",252,"RIV","SOUTH COAST AQMD","","",7.38652393699285,5.19678,0.00255,0.01172,5.25e-06,21.22244,10.384582815,2012,"32710 RESERVOIR ST,LAKEVIEW, CA"
"232188",33,"SC",152666,"SC","MCLD HOLDINGS LLC","TEMESCAL CYN RD & CAJALCO RD","CORONA","92879",9999,"RIV","SOUTH COAST AQMD","","",0.00226100352046088,0.0019,0.00499,0.02298,0.00034,7.72829,3.86534884,2012,"TEMESCAL CYN RD & CAJALCO RD,CORONA, CA"
"232191",30,"SC",2825,"SC","MCP FOODS INC","424-25 S ATCHISON ST","ANAHEIM","92805",2869,"ORA","SOUTH COAST AQMD","","",31.2387978191901,21.43237,3.53462,2.26848,0.03023,5.58969,3.9311308,2012,"424-25 S ATCHISON ST,ANAHEIM, CA"
"232217",30,"SC",118733,"SC","MEDTRONIC INC., HEART VALVES DIV.","1851 E DEERE AVE","SANTA ANA","92705",3829,"ORA","SOUTH COAST AQMD","","",0.0296270137362092,0.014451113812,0.17152,0.24055,0.00116,0.01805,0.017966,2012,"1851 E DEERE AVE,SANTA ANA, CA"
"232218",19,"SC",121289,"SC","MEDTRONIC MINIMED, INC.","18000 DEVONSHIRE ST","NORTHRIDGE","91325",9999,"LA","SOUTH COAST AQMD","","",6.06527063122927,4.5406208921,1.81807,2.61665,0.01376145,0.19037,0.18987902,2012,"18000 DEVONSHIRE ST,NORTHRIDGE, CA"
"232272",19,"SC",114956,"SC","MERCEDES-BENZ","22707 WILMINGTON AVE","CARSON","90745",5511,"LA","SOUTH COAST AQMD","","",3.13536905955363,2.59768,0.06728,0.24996,0.00159564,0.10834,0.1045832,2012,"22707 WILMINGTON AVE,CARSON, CA"
"232281",19,"SC",58563,"SC","MERCURY PLASTICS INC","14849 SALT LAKE AVE","CITY OF INDUSTRY","91746",2673,"LA","SOUTH COAST AQMD","","",11.6169395313451,11.34919,0.2632,0.9776,0.00451,0.0564,0.0564,2012,"14849 SALT LAKE AVE,CITY OF INDUSTRY, CA"
"232289",19,"SC",8648,"SC","MERLE NORMAN COSMETICS INC","9130 BELLANCA AVE","LOS ANGELES","90045",2844,"LA","SOUTH COAST AQMD","","",10.4893665030376,4.50571,0.10133,0.38395,0.00124,0.04459,0.04117842,2012,"9130 BELLANCA AVE,LOS ANGELES, CA"
"232303",30,"SC",95067,"SC","MESA WATER DISTRICT","1971 PLACENTIA AVE","COSTA MESA","92627",9999,"ORA","SOUTH COAST AQMD","","",0.531909130769637,0.04864,0.74291,0.07413,0.000719,0.01213,0.0120574,2012,"1971 PLACENTIA AVE,COSTA MESA, CA"
"232304",30,"SC",94967,"SC","MESAWATER DISTRICT","3596 CADILLAC AVE","COSTA MESA","92626",4941,"ORA","SOUTH COAST AQMD","","",5.59245076586433,0.51115,2.08699,0.53881,0.00761,0.1269,0.1261386,2012,"3596 CADILLAC AVE,COSTA MESA, CA"
"232305",30,"SC",98380,"SC","MESAWATER DISTRICT","2340 ORANGE AVE","COSTA MESA","92627",9999,"ORA","SOUTH COAST AQMD","","",0.728655256875779,0.0734,1.08814,0.2961,0.001693,0.02545,0.0253531,2012,"2340 ORANGE AVE,COSTA MESA, CA"
"232307",19,"SC",800430,"SC","METAL BRIQUETTING COMPANY","5700 S SAN PEDRO","LOS ANGELES","90011",3366,"LA","SOUTH COAST AQMD","","",0.00828990999526291,0.0035,0.0175,0.065,3e-04,0.18217,0.1516511,2012,"5700 S SAN PEDRO,LOS ANGELES, CA"
"232308",33,"SC",94872,"SC","METAL CONTAINER CORP","10980 INLAND AVE","MIRA LOMA","91752",3411,"RIV","SOUTH COAST AQMD","","",107.739759182879,89.01434,4.2877,20.41315,0.06886,2.41112,1.76453006,2012,"10980 INLAND AVE,MIRA LOMA, CA"
"232310",19,"SC",20280,"SC","METAL SURFACES INC","6048-60 SHULL ST","BELL GARDENS","90201",3471,"LA","SOUTH COAST AQMD","","",1.62983621506395,0.655,0.71218,1.0669,0.00594,0.0815816396,0.076396311524,2012,"6048-60 SHULL ST,BELL GARDENS, CA"
"232311",30,"SC",136361,"SC","METALS USA BLDG PROD. LP,GERARD ROOFING","955 COLUMBIA ST","BREA","92821",3253,"ORA","SOUTH COAST AQMD","","",1.03458592387746,0.92211,0.0581,0.2158,0.00098,0.34674,0.28949408,2012,"955 COLUMBIA ST,BREA, CA"
